codigo_ocorrencia1,codigo_ocorrencia2,category_group,aeronave_fatalidades_total
49532,49532,System or Component Failure,0
77399,77399,Engine-Related Issues,0
65190,65190,System or Component Failure,0
52316,52316,System or Component Failure,0
50991,50991,Unknonw,1
80091,80091,Loss of Control,0
53611,53611,Others/Miscellaneous,0
81737,81737,Loss of Control,0
61080,61080,Runway and Landing Issues,0
66431,66431,Fire and Smoke Incidents,0
81012,81012,System or Component Failure,0
81157,81157,System or Component Failure,0
50352,50352,Unknonw,1
50994,50994,Engine-Related Issues,0
79307,79307,Engine-Related Issues,0
65820,65820,System or Component Failure,0
78612,78612,Runway and Landing Issues,0
78278,78278,System or Component Failure,0
66406,66406,Loss of Control,2
65714,65714,Runway and Landing Issues,0
53583,53583,Animal Collisions,0
47766,47766,Animal Collisions,0
52951,52951,System or Component Failure,0
78516,78516,Runway and Landing Issues,0
81073,81073,System or Component Failure,0
78061,78061,System or Component Failure,0
53105,53105,Weather-Related Issues,0
53069,53069,System or Component Failure,0
77627,77627,System or Component Failure,0
51884,51884,Engine-Related Issues,0
47112,47112,System or Component Failure,0
80390,80390,Loss of Control,0
53324,53324,Fuel-Related Issues,0
53555,53555,Loss of Control,0
53489,53489,Runway and Landing Issues,0
80464,80464,System or Component Failure,0
80707,80707,Navigation and Air Traffic Issues,0
79270,79270,System or Component Failure,0
79969,79969,Engine-Related Issues,0
81043,81043,Animal Collisions,0
79874,79874,Unknonw,1
79266,79266,Engine-Related Issues,0
53392,53392,Animal Collisions,0
80416,80416,Engine-Related Issues,0
79008,79008,Engine-Related Issues,0
81040,81040,Engine-Related Issues,0
60745,60745,Runway and Landing Issues,0
80178,80178,System or Component Failure,0
80589,80589,Loss of Control,1
48159,48159,System or Component Failure,0
80799,80799,Runway and Landing Issues,0
79748,79748,Runway and Landing Issues,0
61006,61006,System or Component Failure,0
79355,79355,Runway and Landing Issues,0
79836,79836,System or Component Failure,0
78921,78921,Engine-Related Issues,0
47761,47761,Animal Collisions,0
77394,77394,Engine-Related Issues,0
47872,47872,Loss of Control,1
78903,78903,System or Component Failure,0
80591,80591,System or Component Failure,0
66244,66244,Runway and Landing Issues,2
79805,79805,Animal Collisions,0
81082,81082,Navigation and Air Traffic Issues,0
80827,80827,Navigation and Air Traffic Issues,0
80460,80460,Runway and Landing Issues,0
49593,49593,Engine-Related Issues,0
65548,65548,Runway and Landing Issues,0
80843,80843,System or Component Failure,0
80083,80083,Engine-Related Issues,0
80275,80275,System or Component Failure,0
48883,48883,System or Component Failure,0
51713,51713,Others/Miscellaneous,0
46869,46869,Others/Miscellaneous,0
78798,78798,System or Component Failure,0
79878,79878,System or Component Failure,0
80930,80930,Engine-Related Issues,0
78430,78430,Navigation and Air Traffic Issues,0
81023,81023,Runway and Landing Issues,0
79804,79804,System or Component Failure,0
78338,78338,Runway and Landing Issues,0
50979,50979,Runway and Landing Issues,0
81309,81309,System or Component Failure,0
78493,78493,Fuel-Related Issues,0
52835,52835,Others/Miscellaneous,0
81108,81108,Runway and Landing Issues,0
51462,51462,System or Component Failure,0
66445,66445,Runway and Landing Issues,0
79816,79816,System or Component Failure,0
79071,79071,Fire and Smoke Incidents,0
81182,81182,System or Component Failure,0
78699,78699,Runway and Landing Issues,0
66742,66742,Loss of Control,0
51534,51534,System or Component Failure,0
81381,81381,Runway and Landing Issues,0
80987,80987,Engine-Related Issues,0
50257,50257,Animal Collisions,0
80201,80201,Runway and Landing Issues,0
47096,47096,Weather-Related Issues,0
78051,78051,Engine-Related Issues,0
77575,77575,Engine-Related Issues,0
77835,77835,Runway and Landing Issues,0
53388,53388,System or Component Failure,0
81691,81691,System or Component Failure,0
80059,80059,System or Component Failure,0
80505,80505,Runway and Landing Issues,0
66109,66109,System or Component Failure,0
80077,80077,Runway and Landing Issues,0
80560,80560,Runway and Landing Issues,0
80982,80982,System or Component Failure,0
52993,52993,Fire and Smoke Incidents,0
48696,48696,Runway and Landing Issues,0
80371,80371,System or Component Failure,0
81303,81303,Engine-Related Issues,0
79803,79803,Others/Miscellaneous,0
80289,80289,Runway and Landing Issues,0
80287,80287,System or Component Failure,0
79351,79351,System or Component Failure,0
48816,48816,Health Factors,0
81499,81499,Navigation and Air Traffic Issues,0
80834,80834,System or Component Failure,0
78324,78324,System or Component Failure,1
47095,47095,Navigation and Air Traffic Issues,0
77826,77826,Runway and Landing Issues,0
52719,52719,System or Component Failure,0
78834,78834,Engine-Related Issues,5
50972,50972,Engine-Related Issues,5
80776,80776,Fire and Smoke Incidents,0
80402,80402,Others/Miscellaneous,0
53466,53466,System or Component Failure,0
80476,80476,System or Component Failure,0
47052,47052,Animal Collisions,0
80456,80456,System or Component Failure,0
50354,50354,Runway and Landing Issues,2
51752,51752,Loss of Control,0
49290,49290,Others/Miscellaneous,0
47099,47099,Weather-Related Issues,0
80580,80580,Runway and Landing Issues,0
81147,81147,System or Component Failure,0
79720,79720,Fuel-Related Issues,0
51024,51024,Runway and Landing Issues,0
53578,53578,Engine-Related Issues,0
60710,60710,System or Component Failure,0
80377,80377,System or Component Failure,0
50531,50531,Engine-Related Issues,0
80445,80445,Runway and Landing Issues,0
81712,81712,Runway and Landing Issues,0
78342,78342,Navigation and Air Traffic Issues,0
79297,79297,System or Component Failure,0
81269,81269,Loss of Control,1
81536,81536,Runway and Landing Issues,2
79165,79165,System or Component Failure,0
79075,79075,System or Component Failure,0
66500,66500,Others/Miscellaneous,0
80590,80590,System or Component Failure,0
81251,81251,Engine-Related Issues,0
79957,79957,System or Component Failure,0
78554,78554,System or Component Failure,0
80169,80169,System or Component Failure,0
78037,78037,Others/Miscellaneous,0
